Hispanic,White,Black,AI,API,Unknown,Total
0.129721282,0.538838239,0.157436833,0,0.121385778,0.052617869,19195
0.128309067,0.014187624,0.828218068,0.0024818,0.006535407,0.020268034,24176
0.31973401,0.119438466,0.475151788,0.000738861,0.058145138,0.026791738,31129
0.086874325,0.230599568,0.612261433,0.00346597,0.034299604,0.0324991,22216
0.222095308,0.481244574,0.190112852,0,0.078174259,0.028373007,21887
0.701431097,0.020748149,0.259724831,0.00544259,0.0055531,0.007100232,36196
0.194609185,0.444913321,0.19301247,0,0.127395073,0.040069951,26304
0.674295775,0.123826291,0.063807085,0.001493811,0.132095604,0.004481434,18744
0.281738169,0.328049399,0.261462605,0.004285517,0.106677112,0.017787199,21701
0.707442562,0.039120021,0.242393329,0.000975783,0.003326532,0.006741772,22546
