"numGeoids","profile","category","variable","base","estimate","moe","cv","percent","percent_moe","is_reliable","comparison_estimate","comparison_moe","comparison_cv","comparison_percent","comparison_percent_moe","comparison_is_reliable","difference_estimate","difference_moe","difference_reliable","difference_percent","difference_percent_moe","difference_percent_reliable"
"","demographic","asian_subgroup","asn1rc","Asn1Rc","7761","857.76395354433","6.71868385293571","1","0","true","1198334","3003","0.2","1","0","true","-1190573","3123.102303799861","true","0","0",""
"","demographic","asian_subgroup","asn2pl","Asn1Rc","179","121.461928191512","41.2497421308899","0.023064038139415","0.0154413023932343","false","16227","1346","5","0.014","0.001","true","-16048","1351.4692005369564","true","0.9064038139414998","1.5473649201119408","false"
"","demographic","asian_subgroup","asnbhutn","Asn1Rc","0","0","","0","0","false","311","244","47.7","0","0","false","-311","244","false","0","0",""
"","demographic","asian_subgroup","asnbng","Asn1Rc","3911","754.387168501692","11.7257484890126","0.503929905939956","0.0796636646030619","true","66335","3901","3.6","0.055","0.003","true","-62424","3973.273335676769","true","44.8929905939956","7.972013207458414","true"
"","demographic","asian_subgroup","asnburm","Asn1Rc","0","0","","0","0","false","4542","809","10.8","0.004","0.001","true","-4542","809","true","-0.4","0.1","true"
"","demographic","asian_subgroup","asnchinot","Asn1Rc","119","89.6046873773911","45.7738946016148","0.0153330756345832","0.0114204607638481","false","574642","6709","0.7","0.48","0.005","true","-574523","6709.598348634589","true","-46.46669243654168","1.2467033490714376","true"
"","demographic","asian_subgroup","asncmb","Asn1Rc","0","0","","0","0","false","3097","975","19.1","0.003","0.001","true","-3097","975","true","-0.3","0.1","false"
"","demographic","asian_subgroup","asneast","Asn1Rc","198","104.307238483242","32.0245735418754","0.0255121762659451","0.0131408143675734","false","699450","7811","0.7","0.584","0.006","true","-699252","7811.696422672862","true","-55.84878237340549","1.444579531362062","true"
"","demographic","asian_subgroup","asnflp","Asn1Rc","290","188.324188568543","39.4768239321963","0.0373663187733539","0.0239114386869766","false","73881","2673","2.2","0.062","0.002","true","-73591","2679.625906726534","true","-2.4633681226646105","2.3994934883867494","false"
"","demographic","asian_subgroup","asnhmng","Asn1Rc","0","0","","0","0","false","34","33","59","0","0","false","-34","33","false","0","0",""
"","demographic","asian_subgroup","asnind","Asn1Rc","2914","506.540225451049","10.5671650214153","0.375467078984667","0.0503764784546874","true","230594","4910","1.3","0.192","0.004","true","-227680","4936.059460743964","true","18.3467078984667","5.053503320960207","true"
