Hispanic,White,Black,AI,API,Unknown,Total
0.187695473,0.514032922,0.0781893,0.000617284,0.201481481,0.017983539,24300
0.097177181,0.74772285,0.032429994,0,0.093313781,0.029356194,35461
0.129721282,0.538838239,0.157436833,0,0.121385778,0.052617869,19195
0.623090324,0.193781828,0.075247923,0.001876173,0.079603324,0.026400429,14924
0.31973401,0.119438466,0.475151788,0.000738861,0.058145138,0.026791738,31129
0.101626944,0.643246063,0.039353135,0.001891037,0.167715432,0.046167389,30671
0.606253039,0.151148488,0.213764696,0,0.016018765,0.012815012,34959
0.075369075,0.718492618,0.116472416,0.002175602,0.073038073,0.014452214,12870
0.139125039,0.412596959,0.231151101,0,0.171765436,0.045361464,16115
0.707442562,0.039120021,0.242393329,0.000975783,0.003326532,0.006741772,22546
